TN	T-P	DIN	NH4	NO3	DIP	PO4
6.877	0.125	5.989	1.685229955	1.935	0.053	0.1
4.441	0.175	4.19	1.559166444	0.802	0.111	0.284604989
7.171	0.214	5.83	1.720755648	1.458	0.076	0.09486833
7.516	0.152	6.447	1.924837655	1.891	0.044	0
6.314	0.177	5.588	1.514265499	2.039	0.063	0.077459667
4.212	0.201	3.681	1.327780102	1.019	0.058	0.04472136
3.365	0.23	2.867	1.17686023	0.786	0.098	0.238746728
3.087	0.161	2.691	0.794984277	1.11	0.043	0.070710678
3.365	0.172	2.862	0.763544367	1.178	0.05	0
2.746	0.203	2.545	0.837257428	1.152	0.119	0.327108545
3.843	0.268	3.289	1.183638458	0.982	0.124	0.296647939
3.62	0.21	3.357	1.342758355	0.738	0.163	0.382099463
2.464	0.221	2.212	0.860813569	1.009	0.13	0.331662479
3.026	0.17	2.794	1.016366076	1.407	0.128	0.331662479
3.130125	0.205875	2.948875	1.176010204	1.036	0.142	0.358294572
2.716	0.199	2.311	0.863712915	1.018	0.09	0.281069386
3.858	0.159	3.734	1.382027496	1.123	0.093	0.284604989
2.914	0.164	2.703	1.167904106	0.838	0.094	0.282842712
2.383	0.181	2.089	0.667083203	1.133	0.065	0.225831796
3.204	0.198	2.702	0.906642157	1.245	0.027	0.077459667
3.149	0.142	2.913	0.743639698	1.87	0.042	0.158113883
3.947	0.17	3.783	1.077961038	2.065	0.07	0.219089023
3.18	0.2	2.834	0.786765531	1.567	0.046	0.130384048
3.331	0.187	3.013	1.2292274	1.197	0.1	0.270185122
3.142	0.174	2.761	0.73006849	1.793	0.029	0.1
3.945	0.179	3.797	0.747663026	2.593	0.041	0.04472136
4.801	0.139	4.459	0.957078889	2.749	0.032	0.077459667
4.947	0.118	4.913	1.139298029	2.685	0.053	0.137840488
5.742	0.114	5.539	1.390323703	2.837	0.035	0.141421356
5.506	0.235	5.241	1.100908716	2.976	0.104	0.27202941
4.973	0.188	4.82	1.406413879	2.034	0.099	0.254950976
4.892	0.109	4.718	1.199166377	2.472	0.051	0.164316767
5.958	0.178	5.83	1.535252422	2.713	0.101	0.289827535
6.288	0.141	6.183	1.3326665	3.479	0.038	0.114017543
