GJ1	GJ2	NJ1	NJ2	HP
464.599998	826.090001	2278.129961	2409.399978	3052.769979
246.940001	436.85001	933.740002	1010.180002	1073.839982
79.35	163.939998	377.439997	555.440002	525.030007
39.33	121.320001	249.17	249.820002	243.230004
32.58	102.180001	229.66	445.550007	146.55
73.43	127.25	259.68	275.579998	173.180003
42.97	85.87	175.569999	302.189998	249.649998
27.18	102.41	212.370001	282.589998	235.35
48.1	141.339998	251.04	276.989991	340.080004
30.119999	110.26	194.479999	318.56	244.929997
38.97	140.29	188.35	256.799999	251.030001
320.270002	547.910001	1282.209977	1237.390001	1705.68998
59.81	115.77	184.090002	184.300001	186.375002
75.63	190.900002	391.670003	427.339996	658.920015
250.960001	521.370006	1412.390003	1429.249983	1854.070007
101.46	249.500006	530.879991	557.65	788.730011
71.379999	138.760003	272.999996	279.949995	426.86
47.05	115.97	189.060003	176.940001	300.200003
29.11	86.6	164.889999	194.560001	223.700006
27.65	81.55	181.329998	191.499998	201.210002
26.62	83.58	161.839999	183.110002	233.510001
21.22	83.28	153.409997	141.690002	149.489998
19.32	79.9	155.91	166.440003	174.729998
16.84	76.73	141.300004	162.83	172.95
16.19	78.31	147.499997	146.410001	153.089999
25.17	106.78	193.339997	300.59	257.17
28.18	83.81	180	166.199999	255.020006
21.17	64.23	131.54	148.65	200.76
18.28	67.39	119.769998	82.989999	154.340002
16.57	68.47	114.5	131.609999	186.310002
16.04	66.03	101.660001	72.01	128.739999
15.72	66.29	118.76	119.359999	167.594999
16.14	65.57	117.58	133.929998	194.590002
16.54	75.94	137.810001	156.809998	169.32
40.12	103.040001	197.34	176.819999	286.670001
25.25	79.659999	144.339997	170.47	189.530001
18.25	65.25	127.89	181.44	180.36
14.4	66.605	145.88	179.960002	207.510001
15.39	56.725	123.159999	148.549997	172.139998
13.26	63.32	116.679999	153.999999	179.369996
30.64	114.209999	228.63	303.529997	322.939998
21.18	94.039999	186.519999	222.610001	221.870001
12.08	74.84	169.02	253.279998	195.980001
13.53	71.99	173.47	232.660002	162.309999
8.08	75.81	150.799999	180.550002	179.969999
11.32	76.23	182.599996	258.849999	163.15
9.6	70.37	166.799999	164.939998	89.820001
18.93	77.91	178.359999	223.879994	113.600001
30.8	108.830001	239.060004	215.319999	227.490001
30.84	110.820001	223.219996	269.369999	255.440002
6.61	73.11	117.949999	176.769999	107.56
35.79	100.34	241.009998	313.430001	244.020005
35.61	145.489998	252.739999	281.590002	324.699997
67.299998	201.599997	393.499999	387.130004	426.74
193.8	317.570005	247.319999	623.739999	645.369998
86.819998	132.05	309.669994	335.669997	281.33
32.420001	153.230001	245.659997	324.750005	191.159999
50.479999	116.889999	271.670005	245.909999	305.249998
43.549999	145.06	263.650001	336.980003	321.569999
94.210002	252.450005	626.76	695.450017	801.660011
357.229995	340.359995	1237.570034	1354.580013	2198.730049
44.04	92.82	185.539999	181.899996	436.225
183.809998	309.709998	864.810016	832.190016	1095.650008
120.37	138.350002	402.950009	355.450012	478.889994
31.5	87.51	170.990003	224.419993	233.230002
47.09	86.999999	214.859999	171.920003	285.400004
33.65	77.88	160.969997	123.880001	177.330002
23.6	66.93	128.689998	77.76	159.969999
18.13	66.41	113.309998	113.669999	165.660001
16.18	68.11	98.930001	106.089999	161.699999
14.61	62.95	107.880001	135.29	159.090001
13.55	53.859999	135.640001	103	141.380002
11.79	56.531998	95.689999	105.960001	137.560002
10.02	59.078	87.97	74.35	97.009999
8.76	55.71	85.49	83.73	120.84
11.27	55.73	98.030001	70.88	93.609999
13.57	70.82	139.420002	118.48	183.040002
14.41	46.826	74.16	73.45	118.570001
10.73	48.318	86.44	79.15	102.579999
12.02	61.48	109.120002	107.69	129.780001
30.29	94.939999	202.580002	177.509996	304.860006
14.86	61.86	97.95	78.05	75.010001
9.78	51.4	107.230002	79.02	114.889999
10.27	53.49	101.230001	111.029998	148.42
11.92	51.1	97.78	98.379999	148.939999
10.73	46.78	94.32	99.5	139.960002
21.95	77.22	125	121.470002	214.629995
43.26	101.019999	233.680004	226.640001	322.120003
60.48	174.499997	537.860001	656.300001	746.459999
79.54	209.542301	472.190002	504.050014	613.619991
28.82	119.527688	176.260001	203.290001	195.290003
68.649999	175.499998	371.690004	406.870006	473.540002
50.52	115.78	234.740001	256.169998	318.769997
51.52	122.58	279.970001	325.560009	353.629996
127.98	216.390003	592.360007	637.48001	717.420002
59.66	122.049998	310.449999	327.829995	376.959997
71.64	134.990001	366.630007	405.929995	467.789992
54.71	92.41	225.55	221.850002	270.279999
48.35	120.16	251.509998	225.43	279.499995
33.26	85.88	192.310004	170.420001	232.729998
31.9	86.579999	183.809999	196.82	197.949998
23.84	76.82	159.3	154.899997	208.980002
29.71	66.27	154.62	157.479999	177.849999
494.38999	765.639998	2056.029945	2303.329994	2561.560021
217.299996	228.9	450.039999	624.379989	680.599989
45.56	103.570001	201.260003	208.270003	160.87
21.08	74.14	127.279999	121.670001	92.309998
23.85	58.57	127.289999	165.100003	99.109999
15.6	59.63	118.810002	125.119998	80.710001
20.89	107.870001	231.530005	259.970003	246.630001
14.21	64.16	111.559999	136.569999	165.379999
411.219999	965.27	2167.350009	1832.210023	3596.289987
366.670006	707.699995	1952.220024	1801.23999	5542.050095
403.499984	594.870012	1538.720014	1677.90004	2107.080002
58.4	121.15	288.980001	278.219999	310.640005
62.31	100.520001	315.969998	212.61	315.760002
40.85	59.88	214.719999	153.13	204.499999
177.46	282.569997	1179.130007	1420.055063	1462.299983
52.33	88.619999	294.340002	205.099996	341.789997
28.82	57	171.369999	101.379999	167.92
22.5	56.77	186.5	224.470004	294.700002
23.05	51.89	130.75	373.506672	298.270013
54.349999	95.920001	235.589995	343.422226	290.750001
25.49	66.23	96.019999	313.33778	161.369997
18.21	73.27	121.649999	283.253338	149.999999
18.62	60.502424	126.080001	253.168892	165.619999
26.61	59.527576	183.450001	223.084448	205.890001
18.66	58.265455	118.000002	193.000004	163.799999
16.03	57.003334	100.799999	162.915559	140.609999
14.28	55.78	113.520001	118.859998	158.979999
12.98	59.27	110.54	114.13	165.81
11.69	57.6	97.78	94.84	141.57
10.82	59.12	102.679999	101.849997	166.429998
14.85	88.200001	149.010001	169.430003	168.940001
15.42	65.73	121.390001	127.710002	139.05
13.6	55.23	100.33	98.389999	127.930001
19.39	80.650001	147.999999	172.129999	233.469998
14.08	53.31	106.170001	107.970001	196.950001
12.58	56.58	120.210001	129.420001	204.61
10.51	57.15	110.390001	115.270001	187.270001
14.18	78.44	153.919997	137.992498	214.180002
11.33	41.05	97.970001	194.442498	149.749999
9.28	37.44	99.12	143.300002	199.790002
55.720001	122.43	258.550002	252.959998	418.729999
20.89	58.92	127.419999	128.030001	211.590001
19.48	92.759999	173.370002	196.129995	235.339999
19.87	63.87	150.400003	211.919998	265.4
10.3	51.63	101.64	149.000001	170.899999
35.9	100.779999	247.41	281.289996	303.870001
45.76	117.470002	255.219999	351.810002	343.849996
43.54	117.640001	226.299999	262.760003	364.869998
50.05	153.499997	310.399995	397.370009	442.500001
31.71	92.359999	194.960004	223.819999	292.550007
21.45	66.59	151.73	218.190001	178.3
100.199998	280.060003	937.389981	1048.83001	1183.210021
34.06	109.47	243.869997	276.280006	307.789993
33.83	143.42	322.82	359.920006	376.120006
158.509999	422.890003	1170.249989	1239.980022	1336.769978
130.280001	438.740006	757.090003	929.780001	970.849986
38.13	105.350001	213.64	256.300001	236.880001
123.629999	99.580002	305.739995	399.820011	480.179998
92.470001	81.76	186.830001	297.640001	367.76
371.159997	332.94	739.749988	727.729994	800.029982
69.7	103.319999	226.089998	220.76	325.229992
195.850002	151.390003	617.660001	764.859985	806.550003
95.990001	94.22	308.560003	333.460001	413.879997
329.680003	421.609995	1221.71	1338.02002	1534.270036
147.410002	147.62	364.249997	451.050011	509.550006
396.080002	856.630025	2486.590012	2923.919968	3323.699958
120.75	126.780001	343.830003	291.550004	430.759998
47.56	107.679999	198.810004	149.879997	299.369999
29.91	84.58	145.259999	100.38	206.880004
23.62	64.01	120.519999	97.45	226.809999
20.54	67.05	96.139999	86.94	187.680002
22.49	76.71	89.180001	91.31	167.459997
26.82	73.44	109.63	110.98	142.820003
20.02	72.866765	150.319997	148.960002	208.249998
18.68	71.774706	113.68	115.049997	146.949999
16.99	70.088528	108.660001	109.239999	149.449999
25.95	68.402354	104.4	105.23	159.039998
20.54	65.68647	1832.539992	166.579999	177.139998
101.889999	164.999997	2151.559997	501.470006	550.899998
47.6	76.45	2157.25	236.080002	237.219999
27.97	83.17	2128.570007	242.419999	238.950002
27.72	92.14	2160.530029	260.77	263.640004
22.86	67.81	2125.03003	197.34	195.33
30.7	77.01	2041.44999	240.940001	286.230001
40.26	84.74	207.500005	224.570004	285.420001
64.53	88.66	249.809997	239.239998	296.369998
33.74	67.28	151.98	198.060002	218.65
28.41	68.26	151.389999	199.93	298.389997
19.65	57.33	114.94	169.55	251.189999
35.36	79.55	164.260002	210.24	262.980002
18.74	58.39	101.07	187.739998	246.65
10.41	55.02	76.94	153.089999	213.500004
22.03	100.9	208.349999	278.570001	314.360005
23.68	69.35	198.649997	293.639997	324.530009
18.43	91.219999	171.200001	263.170001	283.220001
58.14	110.899999	294.600005	391.440002	426.799991
47.81	104.54	253.250004	317.970002	328.089998
56.54	106.7	250.53	281.620003	336.209996
39.47	90.35	228.519999	254.540003	265.129998
38.67	87.66	212.430003	272.879997	208.370002
142.109999	353.040002	821.81999	1046.249994	989.220009
90.209999	216.039998	701.730002	876.510006	889.8
64.900001	177.520004	464.529995	636.980012	549.859995
84.150001	174.710001	474.489999	610.110012	625.089989
726.11	1128.110003	3521.429953	3446.90004	4255.470103
288.699994	330.089997	1076.870017	1061.98001	1152.209985
559.159996	772.280007	2217.770019	2501.469993	4911.022574
961.190026	1071.269982	3046.539954	3361.23993	6081.572296
158.270002	235.640001	2513.809965	777.980012	771.270004
68.43	91.799999	2220.349964	337.019997	383.329998
233.959999	260.610001	1519.950012	1254.150009	1313.84999
620.930012	434.770001	2592.329972	2360.040024	2595.11
357.139999	280.680002	1797.00998	1628.099991	1703.709992
201.35	171.969999	725.879997	643.48001	701.709991
79.64	92.83	230.109997	286.230003	289.479996
37.65	70.99	128.94	221.099997	289.340001
30.83	83.12	108.2	202.24	239.530005
26	65.48	90.419999	179.280001	235.449999
26.54	59.49	122.030001	184.459998	252.720002
22.12	51.82	103.389998	157.99	185.87
21.71	55.59	102.950001	133.760003	181.720003
23.81	56.9	35.149999	58.140001	135.640001
33.12	113.560001	148.840003	184.95	234.449999
29.59	100.28	125.179999	175.010002	207.419996
15.72	66.88	126.289998	182.83	210.839998
14.04	59.99	87.83	156.739999	135.13
13.35	52.16	84.490001	154.569997	121.509999
14.67	57	100.190001	182.530002	181.879997
14.64	55.72	100.61	188.03	167.220002
15.25	65	124.450001	207.919997	188.810004
23.77	66.34	123.270002	210.339995	181.449999
26.22	66.1	162.34	227.240002	243.92
26.26	69.229999	140.72	208.759997	197.069997
18.24	50.13	121.939999	182.82	203.910002
19.45	53.44	124.82	187.809999	222.5
65.04	111.200002	265.929997	352.110003	366.279998
100.159999	99.45	293.529995	405.290002	476.039994
46.48	74.050001	181.559999	270.400002	317.500001
31.71	66.16	157.860001	236.919997	313.599999
67.849998	148.009996	348.130001	447.220002	528.75
56.34	116.840001	177.809998	324.11	349.919999
40.45	101.420001	162.45	252.09	305.179994
48.4	98.230001	214.320002	264.880004	368.58
26.13	65.44	144.880002	216.72	222.280002
30.51	68.68	138.600001	216.439997	258.469996
27.43	85.57	152.139998	241.329997	291.090002
49.68	212.549999	381.100005	466.579996	531.190004
39.37	129.289999	258.890002	300.66	328.769996
51.34	125.850001	168.249999	291.329998	290.769998
65.76	150.429998	223.310001	342.589993	381.219998
109.099998	163.959998	228.090001	485.700006	539.060009
66.54	159.369999	207.099998	324.479999	427.770004
23.44	102.39	140.540001	263.079997	244.699999
99.03	196.659998	368.110001	437.460002	489.080002
392.279993	809.299989	3762.970031	3262.699943	3752.460054
61.36	115.07	590.799993	293.220001	353.089999
29.28	54.4	186.230003	209.049999	221.2
50.58	165.390001	215.669996	295.89	362.699994
129.280001	225.710001	682.629997	794.160012	1098.490028
51.95	120.16	187.489997	266.969995	361.630001
