Date	JS	SC
15/07/2019	4405	3409
23/07/2019	20	121
29/07/2019	60	48
05/08/2019	4175	1523
12/08/2019	340	1875
19/08/2019	1447	1569
26/08/2019	651	93
03/09/2019	705	418
10/09/2019	32	0
16/09/2019	2463	119
24/09/2019	27	221
30/09/2019	477	36
07/10/2019	24	20
14/10/2019	197	45
21/10/2019	3544	32
28/10/2019	462	92
04/11/2019	803	204
11/11/2019	1728	89
18/11/2019	3853	1733
25/11/2019	784	1226
02/12/2019	2181	808
09/12/2019	474	47
16/12/2019	1643	97
23/12/2019	1710	11
06/01/2020	860	168
13/01/2020	56	109
20/01/2020	93	82
28/01/2020	40	10
03/02/2020	342	197
10/02/2020	235	38
18/02/2020	157	207
24/02/2020	223	76
02/03/2020	589	75
09/03/2020	220	76
16/03/2020	146	21
23/03/2020	1522	16
30/03/2020	1240	127
06/04/2020	2427	760
13/04/2020	4709	1889
20/04/2020	5467	568
27/04/2020	8457	307
04/05/2020	4552	714
11/05/2020	11716	1318
18/05/2020	9533	5369
25/05/2020	8296	8420
01/06/2020	8970	2707
08/06/2020	3627	3730
15/06/2020	589	177
22/06/2020	1298	281
01/07/2020	2760	519
06/07/2020	8990	193
15/07/2020	70	78
21/07/2020	64	20
27/07/2020	60	127
03/08/2020	112	49
19/08/2020	1611	521
24/08/2020	2992	16712
01/09/2020	1611	329
08/09/2020	79	263
14/09/2020	50	97
21/09/2020	300	204
28/09/2020	3453	1763
05/10/2020	1365	1821
12/10/2020	5142	1898
19/10/2020	1232	843
26/10/2020	1176	192
02/11/2020	3735	681
09/11/2020	1575	528
16/11/2020	6586	806
24/11/2020	1713	412
01/12/2020	2557	825
07/12/2020	8112	126
15/12/2020	4131	115
21/12/2020	1860	39
04/01/2021	595	22
14/01/2021	124	66
19/01/2021	966	174
25/01/2021	324	252
01/02/2021	2665	405
08/02/2021	2044	1011
15/02/2021	1504	816
22/02/2021	4735	533
02/03/2021	6179	1031
08/03/2021	2815	325
15/03/2021	36878	989
22/03/2021	32451	1691
29/03/2021	2405	620
05/04/2021	23866	532
12/04/2021	29648	1266
19/04/2021	7549	1035
26/04/2021	4551	6545
03/05/2021	49188	1921
10/05/2021	28193	41022
17/05/2021	3648	3536
24/05/2021	37964	1267
01/06/2021	9774	3079
07/06/2021	22906	4638
14/06/2021	18897	7010
21/06/2021	17560	2316
28/06/2021	8591	32177
05/07/2021	1829	5461
12/07/2021	372	76
19/07/2021	16446	57158
26/07/2021	1762	7660
02/08/2021	1964	1668
09/08/2021	4430	680
17/08/2021	2777	2022
06/09/2021	510	504
13/09/2021	4321	251
23/09/2021	8882	2944
27/09/2021	7588	2812
05/10/2021	5534	2854
12/10/2021	5729	2052
18/10/2021	6421	1008
25/10/2021	3272	189
01/11/2021	365	800
08/11/2021	2114	494
15/11/2021	2474	268
22/11/2021	1960	3362
29/11/2021	2817	310
06/12/2021	2473	134
13/12/2021	2739	2040
20/12/2021	988	494
03/01/2022	140	48
10/01/2022	69	132
17/01/2022	48	96
22/01/2022	187	61
03/02/2022	8720	106
07/02/2022	391	96
14/02/2022	1111	205
21/02/2022	1509	139
28/02/2022	4536	546
07/03/2022	1110	676
14/03/2022	7601	21210
27/03/2022	3176	220
28/03/2022	1948	178
04/04/2022	6786	896
11/04/2022	9695	1868
18/04/2022	3266	1129
25/04/2022	30872	1063
02/05/2022	6410	1322
09/05/2022	8826	17888
16/05/2022	2458	3814
23/05/2022	3158	2476
30/05/2022	4622	43808
07/06/2022	5889	1331
13/06/2022	6972	7766
20/06/2022	4660	13956
27/06/2022	1440	3139
04/07/2022	4057	14496
11/07/2022	4701	16606
19/07/2022	3441	1034
25/07/2022	9100	430
01/08/2022	6062	6012
08/08/2022	4620	19413
17/08/2022	4197	1595
22/08/2022	5537	4229
29/08/2022	3018	3431
05/09/2022	2376	1526
13/09/2022	6372	1127
19/09/2022	4192	1920
26/09/2022	2331	4258
05/10/2022	7756	4156
11/10/2022	5746	3323
17/10/2022	6851	4354
24/10/2022	4480	1963
01/11/2022	8363	3331
07/11/2022	16530	1481
14/11/2022	32866	1189
21/11/2022	13499.205	10052
28/11/2022	8561	4499
05/12/2022	192	864
12/12/2022	139	219
