Obs	Acanthocyclops	Alona	Anuraeopsis	Ascomorpha	Asplanchna	Auraeopsis	Bosmina	Bosminopsis	Brachionus	Camptocercus	Canthocamptus	Cephalodella	Ceriodaphnia	Chydorus	Colurella	Conochiloides	Conochilus	Cyclops	Daphnia	Diaphanosoma	Dicranophorus	Dipleuchlanis	Dissotrocha	Diurella	Euchlanis	Filinia	Heliodiaptomus	Hexarthra	Holopedium	Ilyocryptus	Kellicottia	Keratella	Lapadella	Latonopsis	Lecane	Lepadella	Macrochaetus	Macrocyclops	Macrothrix	Macrycyclops	Mesocyclops	Moina	Monommata	Monostyla	Mytilina	Notholca	Notommata	Philodina	Platyias	Ploesoma	Polyarthra	Pompholyx	Rhynchotalona	Rotaria	Scapholeberis	Scaridium	Schizocerca	Sida	Simocephalus	Squatinella	Synchaeta	Testudinella	Tetramastix	Thermocyclops	Trichocerca	Trichotria	Triochocerca
SC212	0	0	0	0	94	0	3	0	73	0	0	0	6	0	0	0	3	0	0	0	0	0	0	3	0	6	0	0	0	0	3	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0
SC213	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SC214	0	0	0	0	4	0	0	0	25	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SC215	0	0	0	0	0	0	3	0	379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
SC216	0	0	0	0	0	0	2	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SC217	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SC218	0	0	0	0	0	0	0	0	53	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
SC219	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SC220	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
SC221	0	0	0	0	0	0	3	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
